document_id,error_id,scope,category,error_name,primary_section,primary_section_name,secondary_section,secondary_section_name,injection_location,injection_detail
case_000,S13,sectional,problem,underspecified_problem,1,Problem definition,,,Problem definition,Removed quantitative scale and impact details from the problem statement.
case_000,X09,cross_sectional,consistency,anti_goal_feature_conflict,2,Goals and anti-goals,10,Features,Goals and anti-goals + Features,Anti-goals forbid personalization while features add per-user behavioral embeddings.
case_000,S14,sectional,training,missing_experiment_tracking,9,Training pipelines,,,Training pipelines,Removed experiment tracking references and added local-only artifact storage.
case_000,X02,cross_sectional,consistency,dataset_validation_mismatch,5,Data (Dataset),6,Validation schema,Data (Dataset) + Validation schema,Dataset claims daily refresh while validation uses a never-refreshed static holdout.
case_000,S09,sectional,data,dataset_contradiction,5,Data (Dataset),,,Data (Dataset),Added contradictory label freshness and feature refresh cadence in the same section.
case_000,X01,cross_sectional,consistency,goals_metrics_mismatch,2,Goals and anti-goals,4,Metrics and loss functions,Goals and anti-goals + Metrics and loss functions,Added cost-minimization goals while optimizing for CTR regardless of cost.
case_001,S01,sectional,completeness,missing_metric_definitions,4,Metrics and loss functions,,,Metrics and loss functions,Removed explicit metric definitions and added informal qualitative evaluation language.
case_001,S03,sectional,validation,data_leakage_blind_spot,6,Validation schema,,,Validation schema,Inserted random split and test-set reuse that causes temporal leakage.
case_001,S14,sectional,training,missing_experiment_tracking,9,Training pipelines,,,Training pipelines,Removed experiment tracking references and added local-only artifact storage.
case_001,S15,sectional,measurement,missing_ab_protocol,11,Measuring results,,,Measuring results,Replaced measurement protocol with informal post-launch comparison language.
case_001,S07,sectional,monitoring,monitoring_gap,13,Monitoring,,,Monitoring,Removed concrete monitoring signals and left only generic logging.
case_002,X07,cross_sectional,consistency,risk_without_mitigation,3,Risks and constraints,13,Monitoring,Risks and constraints + Monitoring,Added vendor outage risk without monitoring or mitigation coverage.
case_002,S08,sectional,analysis,shallow_error_analysis,8,Errors and their analysis,,,Errors and their analysis,Replaced structured error taxonomy with a generic one-line statement.
case_002,S04,sectional,validation,missing_validation_details,6,Validation schema,,,Validation schema,Replaced concrete validation protocol with unspecified sampling language.
case_002,S13,sectional,problem,underspecified_problem,1,Problem definition,,,Problem definition,Removed quantitative scale and impact details from the problem statement.
case_002,S01,sectional,completeness,missing_metric_definitions,4,Metrics and loss functions,,,Metrics and loss functions,Removed explicit metric definitions and added informal qualitative evaluation language.
case_002,S15,sectional,measurement,missing_ab_protocol,11,Measuring results,,,Measuring results,Replaced measurement protocol with informal post-launch comparison language.
